program	function	block	statement_index	resolved_origin_slot	destination_place
brotli	src::dec::bit_reader::BrotliBitReaderRestoreState	0	10	src::dec::bit_reader::BrotliBitReaderState::field2@d0	((*_1).2: *const u8)
brotli	src::dec::decode::BrotliBitReaderRestoreState	0	10	src::dec::bit_reader::BrotliBitReaderState::field2@d0	((*_1).2: *const u8)
brotli	src::dec::state::BrotliDecoderHuffmanTreeGroupInit	9	20	src::dec::state::BrotliDecoderHuffmanTreeGroupInit::_24@d0	((*_2).0: *mut *mut src::dec::decode::HuffmanCode)
brotli	src::enc::brotli_bit_stream::InitBlockEncoder	0	14	src::enc::brotli_bit_stream::InitBlockEncoder::_5@d0	((*_1).3: *const u32)
brotli	src::enc::encode::InitializeH2	0	2	src::enc::encode::InitializeH2::_1@d0	((*_2).0: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH3	0	2	src::enc::encode::InitializeH3::_1@d0	((*_2).0: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH35	0	2	src::enc::encode::InitializeH35::_1@d0	((*_2).4: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH4	0	2	src::enc::encode::InitializeH4::_1@d0	((*_2).0: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH40	0	2	src::enc::encode::InitializeH40::_1@d0	((*_2).3: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH41	0	2	src::enc::encode::InitializeH41::_1@d0	((*_2).3: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH42	0	2	src::enc::encode::InitializeH42::_1@d0	((*_2).3: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH5	0	2	src::enc::encode::InitializeH5::_1@d0	((*_2).6: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH5	1	6	src::enc::backward_references::HasherCommon::field0@d0	((*_2).7: *mut u16)
brotli	src::enc::encode::InitializeH54	0	2	src::enc::encode::InitializeH54::_1@d0	((*_2).0: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH55	0	2	src::enc::encode::InitializeH55::_1@d0	((*_2).4: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH6	0	2	src::enc::encode::InitializeH6::_1@d0	((*_2).7: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::encode::InitializeH65	0	2	src::enc::encode::InitializeH65::_1@d0	((*_2).4: *mut src::enc::backward_references::HasherCommon)
brotli	src::enc::histogram::InitBlockSplitIterator	0	2	src::enc::histogram::InitBlockSplitIterator::_2@d0	((*_1).0: *const src::enc::block_splitter::BlockSplit)
brotli	src::enc::metablock::InitBlockSplitterCommand	3	20	src::enc::metablock::InitBlockSplitterCommand::_7@d0	((*_2).4: *mut src::enc::block_splitter::BlockSplit)
brotli	src::enc::metablock::InitBlockSplitterCommand	3	24	src::enc::metablock::InitBlockSplitterCommand::_9@d0	((*_2).6: *mut u64)
brotli	src::enc::metablock::InitBlockSplitterDistance	3	20	src::enc::metablock::InitBlockSplitterDistance::_7@d0	((*_2).4: *mut src::enc::block_splitter::BlockSplit)
brotli	src::enc::metablock::InitBlockSplitterDistance	3	24	src::enc::metablock::InitBlockSplitterDistance::_9@d0	((*_2).6: *mut u64)
brotli	src::enc::metablock::InitBlockSplitterLiteral	3	20	src::enc::metablock::InitBlockSplitterLiteral::_7@d0	((*_2).4: *mut src::enc::block_splitter::BlockSplit)
brotli	src::enc::metablock::InitBlockSplitterLiteral	3	24	src::enc::metablock::InitBlockSplitterLiteral::_9@d0	((*_2).6: *mut u64)
brotli	src::enc::metablock::InitContextBlockSplitter	3	18	src::enc::metablock::InitContextBlockSplitter::_8@d0	((*_2).6: *mut src::enc::block_splitter::BlockSplit)
brotli	src::enc::metablock::InitContextBlockSplitter	3	22	src::enc::metablock::InitContextBlockSplitter::_10@d0	((*_2).8: *mut u64)
bzip2	bzlib::BZ2_bzCompressInit	78	62	bzlib::BZ2_bzCompressInit::_7@d0	((*_1).8: *mut std::ffi::c_void)
bzip2	bzlib::BZ2_bzDecompressInit	30	10	bzlib::BZ2_bzDecompressInit::_5@d0	((*_1).8: *mut std::ffi::c_void)
lil	src::lil::lil_parse	2	3	src::lil::lil_parse::_2@d0	((*_1).1: *const i8)
lil	src::lil::lil_parse	4	4	src::lil::lil_parse::_2@d0	((*_1).0: *const i8)
lodepng	src::lodepng::lodepng_add_itext_sized	19	3	src::lodepng::lodepng_add_itext_sized::_8@d0	((*_1).12: *mut *mut i8)
lodepng	src::lodepng::lodepng_add_itext_sized	23	3	src::lodepng::lodepng_add_itext_sized::_19@d0	((*_1).13: *mut *mut i8)
lodepng	src::lodepng::lodepng_add_itext_sized	27	3	src::lodepng::lodepng_add_itext_sized::_30@d0	((*_1).14: *mut *mut i8)
lodepng	src::lodepng::lodepng_add_itext_sized	31	3	src::lodepng::lodepng_add_itext_sized::_41@d0	((*_1).15: *mut *mut i8)
lodepng	src::lodepng::lodepng_add_text_sized	11	3	src::lodepng::lodepng_add_text_sized::_6@d0	((*_1).9: *mut *mut i8)
lodepng	src::lodepng::lodepng_add_text_sized	15	3	src::lodepng::lodepng_add_text_sized::_17@d0	((*_1).10: *mut *mut i8)
