program,slot,audit_round
libtree,src::libtree::interpolate_variables::_24@d0,1
libtree,src::libtree::print_line::_11@d0,1
libtree,src::libtree::recurse::_765@d0,1
libtree,src::libtree::interpolate_variables::_25@d0,2
libtree,src::libtree::print_line::_37@d0,2
libtree,src::libtree::recurse::_766@d0,2
libtree,src::libtree::print_line::_41@d0,3
binn,src::binn::binn_list_add_value::_6@d0,1
binn,src::binn::binn_map_set_value::_8@d0,1
binn,src::binn::binn_object_set_value::_8@d0,1
binn,src::binn::copy_raw_value::_26@d0,1
binn,src::binn::zero_value::_18@d0,1
binn,src::binn::copy_raw_value::_27@d0,2
binn,src::binn::zero_value::_19@d0,2
bzip2,bzlib::BZ2_bzWrite::_8@d0,1
bzip2,bzlib::BZ2_bzWriteClose64::_11@d0,1
bzip2,bzlib::BZ2_bzReadClose::_3@d0,1
bzip2,bzlib::BZ2_bzRead::_8@d0,1
bzip2,bzlib::BZ2_bzReadGetUnused::_5@d0,1
lodepng,src::lodepng::uivector_cleanup::_2@d0,1
lodepng,src::lodepng::uivector_cleanup::_14@d0,1
lodepng,src::lodepng::lodepng_chunk_find_const::_1@d0,1
lodepng,src::lodepng::lodepng_inspect_chunk::_11@d0,1
lodepng,src::lodepng::decodeGeneric::_67@d0,1
lodepng,src::lodepng::uivector_cleanup::_3@d0,2
lodepng,src::lodepng::uivector_cleanup::_15@d0,2
